entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2026-01-27T16:00:00+00:00,2026-01-28T00:00:00+00:00,SHORT,88378.1,89079.8,-131.1,TIME_EXIT_LOSS,bear,1,18351.54
2026-01-28T00:00:00+00:00,2026-01-28T08:00:00+00:00,SHORT,89079.8,90036.9,-173.16,TIME_EXIT_LOSS,bear,1,18178.38
2026-01-28T08:00:00+00:00,2026-01-28T16:00:00+00:00,SHORT,90036.9,89078.01,147.75,TP,bear,2,18326.13
2026-01-28T16:00:00+00:00,2026-01-29T00:00:00+00:00,SHORT,89363.6,88003.2,216.35,TRAIL_TP,bear,2,18542.48
2026-01-29T00:00:00+00:00,2026-01-29T12:00:00+00:00,SHORT,88003.2,84898.0,517.28,TRAIL_TP,bear,3,19059.76
2026-01-29T12:00:00+00:00,2026-01-29T20:00:00+00:00,SHORT,84898.0,83993.84,147.75,TP,bear,2,19207.51
2026-01-29T20:00:00+00:00,2026-01-30T04:00:00+00:00,SHORT,84604.7,82770.1,313.27,TRAIL_TP,bear,2,19520.78
2026-01-30T04:00:00+00:00,2026-01-30T12:00:00+00:00,SHORT,82770.1,82850.2,-26.52,TIME_EXIT_LOSS,bear,1,19494.26
2026-01-30T12:00:00+00:00,2026-01-30T20:00:00+00:00,SHORT,82850.2,83954.59,-211.95,SL,bear,2,19282.31
2026-01-30T20:00:00+00:00,2026-01-31T08:00:00+00:00,SHORT,84211.4,82983.2,206.77,TRAIL_TP,bear,3,19489.08
2026-01-31T08:00:00+00:00,2026-01-31T16:00:00+00:00,SHORT,82983.2,77707.9,941.56,TRAIL_TP,bear,2,20430.64
2026-01-31T16:00:00+00:00,2026-02-01T00:00:00+00:00,SHORT,77707.9,78743.75,-211.95,SL,bear,2,20218.69
2026-02-01T00:00:00+00:00,2026-02-01T12:00:00+00:00,SHORT,78826.3,77563.8,228.24,TRAIL_TP,bear,3,20446.93
2026-02-01T12:00:00+00:00,2026-02-01T20:00:00+00:00,SHORT,77563.8,76737.75,147.75,TP,bear,2,20594.68
2026-02-01T20:00:00+00:00,2026-02-02T04:00:00+00:00,SHORT,76931.5,76112.18,147.75,TP,bear,2,20742.43
2026-02-02T04:00:00+00:00,2026-02-02T12:00:00+00:00,SHORT,76612.6,77633.85,-211.95,SL,bear,2,20530.48
2026-02-02T12:00:00+00:00,2026-02-02T20:00:00+00:00,SHORT,78800.6,77961.37,147.75,TP,bear,2,20678.23
2026-02-02T20:00:00+00:00,2026-02-03T04:00:00+00:00,SHORT,78692.5,78749.9,-22.94,TIME_EXIT_LOSS,bear,1,20655.29
2026-02-03T04:00:00+00:00,2026-02-03T12:00:00+00:00,SHORT,78749.9,77911.21,147.75,TP,bear,2,20803.04
2026-02-03T12:00:00+00:00,2026-02-03T20:00:00+00:00,SHORT,78094.1,75732.4,441.63,TRAIL_TP,bear,2,21244.67
2026-02-03T20:00:00+00:00,2026-02-04T04:00:00+00:00,SHORT,75732.4,76741.91,-211.95,SL,bear,2,21032.72
2026-02-04T04:00:00+00:00,2026-02-04T12:00:00+00:00,SHORT,76478.9,74107.0,453.21,TRAIL_TP,bear,2,21485.93
2026-02-04T12:00:00+00:00,2026-02-04T20:00:00+00:00,SHORT,74107.0,73137.4,184.26,TRAIL_TP,bear,2,21670.19
2026-02-04T20:00:00+00:00,2026-02-05T04:00:00+00:00,SHORT,73137.4,70716.1,484.59,TRAIL_TP,bear,2,22154.78
2026-02-05T04:00:00+00:00,2026-02-05T12:00:00+00:00,SHORT,70716.1,67451.9,680.39,TRAIL_TP,bear,2,22835.17
2026-02-05T12:00:00+00:00,2026-02-05T20:00:00+00:00,SHORT,67451.9,62868.1,1007.35,TRAIL_TP,bear,2,23842.52
