entry_i,exit_i,side,entry,exit,exit_type,pnl_pct,regime,duration
233,274,LONG,59389.1,56868.209093444515,SL,-4.3247,Bullish Trend,41
274,275,LONG,59643.7,57862.01171613463,SL,-3.0672,Bullish Trend,1
275,288,LONG,57002.4,59796.644769024984,TP,4.822,Bullish Trend,13
288,296,LONG,59468.5,57990.301604939435,SL,-2.5657,Bullish Trend,8
296,300,LONG,58475.5,60301.26104017104,TP,3.0423,Bullish Trend,4
300,301,LONG,59398.5,61219.1660562871,TP,2.9852,Bullish Trend,1
301,303,LONG,60588.6,59213.572513687126,SL,-2.3494,Bullish Trend,2
303,304,LONG,60494.9,59164.7002796588,SL,-2.2789,Bullish Trend,1
304,310,LONG,58783.7,60851.52463644356,TP,3.4377,Bullish Trend,6
310,311,LONG,59486.0,61506.65727329513,TP,3.3169,Bullish Trend,1
311,312,LONG,61538.1,59955.71456363078,SL,-2.6514,Bullish Trend,1
312,322,LONG,61120.0,63316.40606727998,TP,3.5136,Bullish Trend,10
322,323,LONG,61499.0,63517.681110565914,TP,3.2025,Bullish Trend,1
323,345,LONG,63577.2,61971.064569522605,SL,-2.6063,Bullish Trend,22
345,347,LONG,62392.5,61265.54361008174,SL,-1.8862,Bullish Trend,2
347,348,LONG,62071.8,60921.785816856194,SL,-1.9327,Bullish Trend,1
348,357,SHORT,59384.5,60896.67031291925,SL,-2.6264,Bearish Trend,9
357,364,SHORT,60040.0,57784.5331991452,TP,3.6766,Bearish Trend,7
364,384,SHORT,58073.1,59733.582908442935,SL,-2.9393,Bearish Trend,20
384,390,SHORT,59112.1,57308.40087560938,TP,2.9713,Bearish Trend,6
390,400,SHORT,57451.9,55947.0,REGIME_FLIP,2.5394,Bearish Trend,10
400,405,LONG,55947.0,54459.72602671906,SL,-2.7384,Bullish Trend,5
405,406,LONG,55972.1,54521.36042439274,SL,-2.6719,Bullish Trend,1
406,424,LONG,54022.1,56390.926448289436,TP,4.3049,Bullish Trend,18
424,425,LONG,55360.3,57112.86912012107,TP,3.0858,Bullish Trend,1
425,435,LONG,57060.1,55701.69599175643,SL,-2.4607,Bullish Trend,10
435,447,LONG,56768.9,58613.214688187945,TP,3.1688,Bullish Trend,12
447,448,LONG,57852.6,59553.11536893268,TP,2.8594,Bullish Trend,1
448,462,LONG,59623.5,58269.31072468751,SL,-2.3512,Bullish Trend,14
462,465,LONG,59100.5,58078.97522086713,SL,-1.8085,Bullish Trend,3
465,466,LONG,58630.0,57570.49413638669,SL,-1.8871,Bullish Trend,1
466,471,LONG,57860.7,59420.4576226973,TP,2.6157,Bullish Trend,5
471,472,LONG,59055.1,60623.06383265556,TP,2.5751,Bullish Trend,1
472,473,LONG,61103.0,59795.702559973346,SL,-2.2195,Bullish Trend,1
473,480,LONG,59946.0,61891.57667203465,TP,3.1655,Bullish Trend,7
480,487,LONG,61735.3,64002.59049374708,TP,3.5926,Bullish Trend,7
