entry_time,exit_time,side,entry,exit,exit_type,size_usd,net_pnl,equity
2024-02-27 08:00:00,2024-02-28 00:00:00,LONG,56581.4,58270.98156623091,TP,146566.98144024363,4259.394395624935,168383.69367476794
2024-02-28 00:00:00,2024-02-28 04:00:00,LONG,56963.3,58676.23218224493,TP,149321.9787266887,4370.774248345777,172754.46792311373
2024-02-28 04:00:00,2024-02-28 08:00:00,LONG,58300.0,60110.66559779886,TP,148329.7706237392,4488.121994784051,177242.58991789777
2024-02-28 08:00:00,2024-02-28 12:00:00,LONG,58997.4,60873.31805509894,TP,148646.89063930564,4607.551551965824,181850.1414698636
2024-02-28 12:00:00,2024-02-29 00:00:00,LONG,61000.0,63098.5810511633,TP,140956.94006846624,4736.571553808247,186586.71302367185
2024-02-29 00:00:00,2024-03-04 04:00:00,LONG,61638.6,64552.789128792196,TP,105240.88187003424,4891.452975135221,191478.16599880706
2024-03-04 04:00:00,2024-03-04 08:00:00,LONG,64120.6,66218.768196121,TP,156043.35138230343,4981.249745529009,196459.41574433606
2024-03-04 08:00:00,2024-03-04 12:00:00,LONG,65314.0,67496.47046782664,TP,156783.18638240013,5113.491204076367,201572.90694841242
2024-03-04 12:00:00,2024-03-05 08:00:00,LONG,66505.4,68832.02257726759,TP,153649.75178180885,5252.357717198878,206825.2646656113
2024-03-05 08:00:00,2024-03-05 12:00:00,LONG,66749.0,64630.37467826638,SL,130323.93646525724,-4240.76444248442,202584.50022312687
2024-03-05 12:00:00,2024-03-05 16:00:00,LONG,66841.3,64566.933629818785,SL,119075.0226726677,-4146.950022600668,198437.5502005262
2024-03-08 00:00:00,2024-03-11 00:00:00,LONG,67219.9,70460.51614309187,TP,109764.7417794044,5203.856211923846,203641.40641245004
2024-03-11 00:00:00,2024-03-11 04:00:00,LONG,68657.4,71072.75104247063,TP,154362.5391730016,5306.947472993581,208948.35388544362
2024-03-11 04:00:00,2024-03-12 12:00:00,LONG,71223.8,69216.46980970795,SL,148277.50650530323,-4297.589082913111,204650.7648025305
